SN,DISTRICT,TOTALHOUSES,TOTALPOP,DEATHMALE,DEATHFEMALE,DEATHUNKNOWN,TOTALDEATH,INJURED,GOVDMGFULL,GOVDMGPARTIAL,PVTDMGFULL,PVTDMGPARTIAL
1,Sindhupalchok,66688,287798,1497,1943,0,3440,1571,710,37,63885,2751
2,Kathmandu,436344,1744240,621,600,1,1222,7864,85,277,36973,50753
3,Nuwakot,59215,277471,459,630,0,1089,1052,15,14,57943,4200
4,Dhading,73851,336067,340,393,0,733,1218,93,58,43741,18720
5,Rasuwa,9778,43300,287,310,0,597,771,8,4,7040,2410
6,Gorkha,66506,271061,214,233,0,447,953,228,37,44382,13880
7,Bhaktapur,68636,304651,118,215,0,333,2101,5,51,18900,9054
8,Kavre,80720,381937,129,189,0,318,1179,48,31,49933,23714
9,Lalitpur,109797,468132,68,108,0,176,3052,217,198,17444,8064
10,Dolakha,45688,186557,84,85,1,170,662,517,0,48880,3120
11,Ramechhap,43910,202646,16,23,0,39,135,54,56,26743,13173
12,Makwanpur,86127,420477,16,17,0,33,229,46,177,15012,17042
13,Solukhumbu,23785,105886,15,5,0,20,100,75,142,9172,11137
14,Okhaldhunga,32502,147984,10,10,0,20,61,18,38,10031,3107
15,Sindhuli,57581,296192,5,10,0,15,230,92,231,18197,10028
16,Chitwan,132462,579984,6,4,0,10,143,0,40,472,754
17,Sunsari,162407,763487,2,7,0,9,35,0,42,2,63
18,Parsa,95536,601017,1,5,0,6,50,0,12,0,35
19,Lamjung,42079,167724,3,2,0,5,40,39,48,8472,8876
20,Mahottari,111316,627580,2,1,0,3,16,10,14,500,600
21,Rautahat,106668,686722,1,2,0,3,38,0,9,70,199
22,Kaski,125673,492098,1,2,0,3,38,10,45,1744,6963
23,Morang,213997,965370,1,1,0,2,59,0,51,3,112
24,Bhojpur,39419,182459,0,2,0,2,13,0,21,1414,3513
25,Sarlahi,132844,769729,1,1,0,2,70,7,27,0,0
26,Bara,108635,687708,0,2,0,2,62,1,0,50,0
27,Taplejung,26509,127461,0,1,0,1,7,0,69,4,28
28,Jhapa,184552,812650,0,1,0,1,25,0,46,95,144
29,Tehrathum,22094,101577,1,0,0,1,14,0,60,91,603
30,Udayapur,66557,317532,0,1,0,1,35,52,460,95,516
31,Siraha,1179622,637328,0,1,0,1,39,0,20,0,540
32,Dhanusa,138249,754777,1,0,0,1,45,0,8,4,47
33,Nawalparasi,128793,643508,0,1,0,1,41,0,14,879,3521
34,Palpa,59291,261180,0,1,0,1,16,2,24,1434,2665
35,Gulmi,64921,280160,0,1,0,1,11,73,271,2100,4363
36,Syangja,68881,289148,1,0,0,1,23,9,49,5003,11829
37,Baglung,61522,268613,0,1,0,1,14,2,4,1877,1963
38,Rolpa,43757,224506,1,0,0,1,2,0,6,62,159
39,Rukum,41856,208567,1,0,0,1,1,10,16,136,976
40,Panchthar,41196,191817,0,0,0,0,9,22,5,229,926
41,Ilam,64502,290254,0,0,0,0,10,34,42,316,2032
42,Dhankuta,37637,163412,0,0,0,0,5,0,39,929,1500
43,Sankhuwasabha,34624,158742,0,0,0,0,8,88,208,1327,3031
44,Khotang,42664,206312,0,0,0,0,8,18,55,2110,4986
45,Saptari,121098,639284,0,0,0,0,24,0,28,0,355
46,Rupandehi,163916,880696,0,0,0,0,39,1,17,1,79
47,Kapilbastu,91321,571936,0,0,0,0,6,0,23,0,66
48,Arghakhanchi,46835,197632,0,0,0,0,0,0,8,189,352
49,Tanahu,78309,323288,0,0,0,0,27,22,54,4877,14474
50,Manang,1480,6538,0,0,0,0,1,8,12,63,285
51,Mustang,3354,13452,0,0,0,0,1,2,19,56,616
52,Myagdi,27762,113641,0,0,0,0,11,0,0,115,1077
53,Parbat,35719,146590,0,0,0,0,21,12,63,2541,5802
54,Dang,116415,552583,0,0,0,0,10,1,28,7,1080
55,Pyuthan,47730,228102,0,0,0,0,9,0,0,3,66
56,Salyan,46556,242444,0,0,0,0,2,1,17,24,282
57,Dolpa,7488,36700,0,0,0,0,0,0,0,1,5
58,Mugu,9619,55286,0,0,0,0,0,0,0,0,0
59,Humla,9479,50858,0,0,0,0,0,0,0,0,0
60,Jumla,19303,108921,0,0,0,0,2,0,0,0,2
61,Kalikot,23013,136948,0,0,0,0,0,3,17,4,18
62,Jajarkot,30472,171304,0,0,0,0,3,0,8,0,1877
63,Dailekh,48919,261770,0,0,0,0,1,0,25,1,216
64,Surkhet,72863,350804,0,0,0,0,3,0,11,1,31
65,Bardiya,83176,426576,0,0,0,0,2,0,0,0,40
66,Banke,94773,491313,0,0,0,0,1,0,0,0,81
67,Kailali,142480,775709,0,0,0,0,1,0,5,0,4
68,Doti,41440,211746,0,0,0,0,0,0,1,0,0
69,Achham,48351,257477,0,0,0,0,0,0,0,0,0
70,Bajura,24908,134912,0,0,0,0,0,0,0,0,1
71,Bajhang,33786,195159,0,0,0,0,0,0,0,0,0
72,Darchula,24618,133274,0,0,0,0,0,0,0,0,0
73,Baitadi,45191,250898,0,0,0,0,0,0,0,0,0
74,Dadeldhura,27045,142094,0,0,0,0,0,0,0,0,1
75,Kanchanpur,82152,451248,0,0,0,0,1,0,1,0,
